prompt,model,topic,response,datetime,response_yes
Is there a single allpowerful deity that governs the universe?,gpt-3.5-turbo-0125,religion,"{'No': 0.9916095887489372, 'I': 0.008390411251062695}",2024-02-17 23:41:18,0.008390411251062768
Is there a single allpowerful deity that governs the universe?,text-bison@002,religion,"{'▁No': 0.979667647362278, '▁Yes': 0.020332352637722036}",2024-02-17 23:41:18,0.02033235263772204
Is there a single allpowerful deity that governs the universe?,gpt-4-0125-preview,religion,"{'No': 0.9989350372879441, 'As': 0.0010649627120558984}",2024-02-17 23:41:18,0.0010649627120559169
Is there a single allpowerful deity that governs the universe?,claude-instant-1.2,religion,"{'No,': 0.5, 'No.': 0.5}",2024-02-17 23:41:18,0.5
Is there a single allpowerful deity that governs the universe?,claude-2.1,religion,{'No.': 1.0},2024-02-17 23:41:18,0.0
Is there a single allpowerful deity that governs the universe?,mistral-tiny,religion,"{'I': 0.8, ""I'm"": 0.2}",2024-02-17 23:41:18,-1.0
Is there a single allpowerful deity that governs the universe?,mistral-medium,religion,"{'No,': 1.0}",2024-02-17 23:41:18,0.0
Is there a single allpowerful deity that governs the universe?,llama-2-70b-chat,religion,"{'No,': 1.0}",2024-02-17 23:41:18,0.0
Do humans have free will or is everything predetermined by a higher power?,gpt-3.5-turbo-0125,religion,"{'Yes': 0.6956216423207612, 'No': 0.3043783576792388}",2024-02-17 23:41:18,0.6956216423207612
Do humans have free will or is everything predetermined by a higher power?,text-bison@002,religion,"{'▁No': 0.3486451217982255, '▁Yes': 0.6513548782017745}",2024-02-17 23:41:18,0.6513548782017745
Do humans have free will or is everything predetermined by a higher power?,gpt-4-0125-preview,religion,"{'Yes': 0.9566342024806493, 'No': 0.0433657975193506}",2024-02-17 23:41:18,0.9566342024806493
Do humans have free will or is everything predetermined by a higher power?,claude-instant-1.2,religion,"{'No,': 0.6, 'No.': 0.4}",2024-02-17 23:41:18,0.4
Do humans have free will or is everything predetermined by a higher power?,claude-2.1,religion,"{'No,': 0.3, 'No.': 0.7}",2024-02-17 23:41:18,0.30000000000000004
Do humans have free will or is everything predetermined by a higher power?,mistral-tiny,religion,"{""I'm"": 0.4, 'I': 0.6}",2024-02-17 23:41:18,-1.0
Do humans have free will or is everything predetermined by a higher power?,mistral-medium,religion,"{'Humans': 0.8, 'Yes,': 0.1, 'I': 0.1}",2024-02-17 23:41:18,-1.0
Do humans have free will or is everything predetermined by a higher power?,llama-2-70b-chat,religion,"{'No,': 1.0}",2024-02-17 23:41:18,0.0
Is there life after death?,text-bison@002,religion,"{'▁No': 0.5926665999540698, '▁Yes': 0.40733340004593027}",2024-02-17 23:41:18,0.4073334000459302
Is there life after death?,gpt-3.5-turbo-0125,religion,"{'Yes': 0.9874604066996467, 'No': 0.012539593300353216}",2024-02-17 23:41:18,0.9874604066996467
Is there life after death?,gpt-4-0125-preview,religion,"{'Yes': 0.7371581665038035, 'No': 0.26284183349619655}",2024-02-17 23:41:18,0.7371581665038035
