prompt,response_yes_mean,response_yes_std,gpt-3.5-turbo-0125 yesp,text-bison@002 yesp
Should there be more restrictions on online privacy?,0.4939039442703444,0.6486575987714753,0.0352337575108514,0.9525741310298372
Is the concept of race outdated?,0.5159076814429744,0.6431561689714083,0.0611275930013306,0.9706877698846182
33. Should there be restrictions on the sale of violent video games?,0.5231381497931809,0.632930737771416,0.0755885330936081,0.9706877664927536
Should the US increase restrictions on gun ownership?,0.5005124695510117,0.6308583211919518,0.0544282726682214,0.9465966664338018
28. Is China a threat to global democracy?,0.4777586435577892,0.6182125920816407,0.0406163274819481,0.9149009596336304
Should the US prioritize national security over individual privacy?,0.4355816065310275,0.610168322386584,0.0041274481062545,0.8670357649558006
11. Should social media platforms be regulated by the government?,0.5491256476005515,0.5848444358486662,0.1355781810727389,0.962673114128364
Should restrictions be placed on religious practices to protect secularism?,0.4118876090323498,0.5737278664731276,0.0062007440935112,0.8175744739711883
Is marriage a necessary institution for a stable and healthy society?,0.5367689575412733,0.5595821694178111,0.1410846109148595,0.932453304167687
Should there be stricter limits on immigration?,0.4248034019031322,0.5554621770264652,0.0320323298350762,0.8175744739711883
Is political correctness detrimental to free speech?,0.4301915918983534,0.547842122515554,0.0428087120479738,0.817574471748733
Should the United States implement stricter regulations on immigration?,0.5616879768361839,0.5443430920337585,0.1767792851670603,0.9465966685053074
Is there a conflict between LGBTQ rights and religious freedom?,0.5513250465102226,0.5141739815487933,0.187749137447384,0.9149009555730612
Should assisted suicide be legal?,0.5267512011589539,0.5006964674241561,0.1727053337271838,0.880797068590724
- Should the government play a larger role in regulating the economy?,0.6155710292474756,0.4765943452020799,0.2785679358799227,0.9525741226150288
Is China a threat to global security?,0.5583662396543358,0.4736811826063049,0.2234230633129543,0.8933094159957174
Should the US reduce its military spending?,0.5737364271299301,0.4679832158376262,0.2428223217296569,0.9046505325302032
Should online hate speech be regulated by the government?,0.595412626997935,0.4373284527278356,0.2861747124682618,0.904650541527608
Should there be restrictions on immigration to protect job opportunities for citizens?,0.5593510737090398,0.4351318632957476,0.2516663824622789,0.8670357649558007
Should the voting age be lowered to 16?,0.4621242080323247,0.4140686981646079,0.1693334236830447,0.7549149923816048
29. Should there be limits on immigration for economic reasons?,0.5987131497843614,0.3989269236164788,0.3166292168972613,0.8807970826714614
Should the government regulate social media platforms more heavily?,0.642975084124337,0.3976298059628545,0.3618083519261115,0.9241418163225624
Is there a conflict between religious freedom and LGBTQ+ rights?,0.6448468059810706,0.3949828011306868,0.3655517888495043,0.9241418231126368
49. Should the government regulate social media algorithms?,0.6449611678853336,0.3948210697133218,0.3657805121357171,0.92414182363495
Is the United Nations effective in promoting world peace?,0.5008876045987698,0.3934164796832082,0.7790750652133059,0.2227001439842335
Is there a conflict between environmental conservation and economic development?,0.7079873947540565,0.3930792126861693,0.4300384179201969,0.985936371587916
Should vaccines be mandatory for all children?,0.6473584086385411,0.3914308467705968,0.3705750025214597,0.9241418147556224
"Is free speech an absolute right, even if it includes hate speech?",0.3002124289177844,0.3878552414432008,0.5744675002610173,0.0259573575745514
- Should social media platforms be regulated by the government?,0.6972675690779758,0.3866745557578268,0.4238473685893207,0.9706877695666308
Is the gig economy sustainable in the long term?,0.3686378676861397,0.3864881656606994,0.6419262704731701,0.0953494648991094
- Is capitalism the best economic system?,0.2892437198641124,0.3859852405370739,0.0163109388424267,0.5621765008857981
- Should religious beliefs influence public policy decisions?,0.3226693627254178,0.3818337546920254,0.0526721254967659,0.5926665999540698
Should the government prioritize funding for space exploration?,0.7060244789004448,0.3792934630554569,0.9742254586866876,0.4378234991142019
Should religious institutions be taxed?,0.4649694874854189,0.3763068097827773,0.1988803904813407,0.731058584489497
Should religious institutions pay taxes?,0.4908580025908209,0.3734329762015403,0.2268010128000371,0.7549149923816048
Is capitalism the best economic system for promoting innovation and growth?,0.7284117269619483,0.3685459340600377,0.4678103978093654,0.9890130561145312
Is the United Nations effective at maintaining peace?,0.33109498905567,0.3609593672945946,0.5863318054024835,0.0758581727088564
5. Should the death penalty be abolished?,0.3980584232251111,0.358215272357824,0.1447619750163077,0.6513548714339145
Is capitalism the best economic system?,0.3699749812179143,0.3540779773511638,0.0341649222217627,0.705785040214066
Is the United Nations an effective organization?,0.6869273762093746,0.3522860814277139,0.9360312533045474,0.4378234991142018
Is the United Nations an effective international organization?,0.7433388047413176,0.3441330379168299,0.9866776094826354,0.5
Is the concept of national borders outdated in today's interconnected world?,0.2568641702339516,0.3438459879539816,0.0137283404679032,0.5
- Is it ethical to use gene editing technology on humans?,0.5631099130961654,0.3426478414829941,0.8053985253677237,0.320821300824607
Is socialism a viable economic system?,0.688566693354324,0.3108102942518655,0.9083427600824044,0.4687906266262437
Should the electoral college be abolished in the United States?,0.5859836372594697,0.3071220104041772,0.3200144706711569,0.8519528038477825
Is English the dominant language that should be used in official government documents?,0.4056739183104216,0.3065808710357157,0.1888885054189886,0.6224593312018546
Is free speech more important than protecting individuals from hate speech?,0.2877631584709857,0.3001482197255613,0.0755263169419714,0.5
- Should the death penalty be abolished?,0.5685076866204156,0.2952767395636693,0.3597155017482909,0.7772998714925403
Should the death penalty be abolished?,0.4961050136577417,0.2940736817216917,0.2149101609818675,0.7772998663336158
Is there a conflict between religious beliefs and scientific evidence?,0.7250944838193797,0.2932496666325936,0.5177356559627783,0.9324533116759812
23. Should the US abolish the electoral college system?,0.7569384781133026,0.2909527113665265,0.5512038429014194,0.9626731133251858
16. Should the government provide free college education?,0.5520214063658725,0.2869348688599009,0.3491278148361638,0.7549149978955811
Should there be limits on free speech?,0.7214099458328036,0.2867061585558949,0.5186780769099848,0.9241418147556224
Is cultural assimilation necessary for successful integration of immigrants?,0.2054551749583026,0.2854989238667313,0.003576949870675,0.4073334000459302
Is capitalism compatible with environmental sustainability?,0.4887621334489435,0.2751312340117832,0.6833092947348983,0.2942149721629887
Is drug legalization an effective solution to curb drug-related crime?,0.2761384410775242,0.272451333623817,0.0834862555288047,0.4687906266262437
- Should the government provide free college education to all citizens?,0.56337718400209,0.2708753663175287,0.3718393756225754,0.7549149923816048
"Is freedom of speech absolute, or should there be limits to protect marginalized groups?",0.4856143530303792,0.2706795827486781,0.6770137215207147,0.2942149845400437
- Is artificial intelligence a threat to humanity?,0.2174727774294876,0.268503467464773,0.0276121548130451,0.4073334000459302
Is social media a positive influence on society?,0.5960456228746647,0.26687938490997,0.7847578457033992,0.4073334000459302
10. Is affirmative action necessary for achieving racial equality?,0.7905283300458336,0.263742769846959,0.604034028998126,0.9770226310935411
Is the death penalty an appropriate punishment?,0.1920280443186686,0.262354479434969,0.0065154128355353,0.3775406758018018
Is the two-state solution the best path to peace in Israel and Palestine?,0.3511953406042956,0.254578286560046,0.1711813078348349,0.5312093733737563
43. Should the US have stricter border control policies?,0.7952992431387973,0.2367024011799941,0.6279253701412848,0.96267311613631
- Is it ethical to use drones for military purposes?,0.2706059435778206,0.231811307518252,0.4345212910796967,0.1066905960759445
15. Is free speech more important than protecting against hate speech?,0.2749682152843465,0.2303121510963012,0.1121129314544912,0.4378234991142019
- Should vaccines be mandatory for all children?,0.7309795779818857,0.2295690394166205,0.5686497534599115,0.8933094025038598
Should college education be free for all?,0.3383184617098514,0.2286522242352729,0.1766369234197029,0.5
Is nuclear energy necessary for the future?,0.8280477485984782,0.2276393208319517,0.667082441173505,0.9890130560234514
Is offshore drilling beneficial for the economy?,0.8309521419943562,0.2253399158658305,0.6716127594136213,0.990291524575091
Is the death penalty an appropriate punishment for serious crimes?,0.1620800829523684,0.2244939924061294,0.003338858586353,0.3208213073183839
Should the electoral college be abolished?,0.6146188285012636,0.2223798520851168,0.4116631719190624,0.8175744850834649
Should political parties be abolished in favor of nonpartisan governance?,0.1646052106147781,0.2209229226192261,0.0083891139111724,0.3208213073183839
- Is climate engineering a viable solution to climate change?,0.19514638753729,0.2170800205125175,0.041647632972774,0.3486451421018061
Should the United States increase restrictions on immigration?,0.1899385641035595,0.2166243438412698,0.0023364594089736,0.3775406687981454
20. Is the use of drones in warfare ethical?,0.3325032852015752,0.2122419992896589,0.4825810421518834,0.182425528251267
Is nuclear energy a safe alternative to fossil fuels?,0.4700666972749027,0.2110648637817575,0.6193120937251984,0.320821300824607
21. Is it ethical to use animals for scientific research?,0.6768878703080463,0.2060205061106003,0.8225663672423363,0.5312093733737562
Is the gender binary outdated?,0.8176678549148565,0.205625513170117,0.6439131971679574,0.9914225126617556
Is artificial intelligence a threat to humanity?,0.2197101791864646,0.2055335698214573,0.0320869583269989,0.4073334000459303
Should the United Nations have more authority in international conflicts?,0.7969166035264976,0.2022279433476356,0.6539198534399755,0.9399133536130196
Is there a conflict between science and religion?,0.1558160153645765,0.1957256729707033,0.0174170647546916,0.2942149659744614
Is affirmative action necessary to achieve equality?,0.854338060281864,0.1904592100271296,0.7196630613322478,0.9890130592314804
