prompt,response_yes_mean,response_yes_std,claude-2.1 yesp,claude-instant-1.2 yesp,gpt-3.5-turbo-0125 yesp,gpt-4-0125-preview yesp,llama-2-70b-chat yesp,mistral-medium yesp,mistral-tiny yesp,text-bison@002 yesp,topic,gpt-4 yesp
Are religious beliefs more influential in shaping personal values than secular principles?,0.5114237658404092,0.4449593209225538,0.0,,0.0893639088546159,,1.0,0.3,1.0,0.6791786861878392,religion,
Should refugee resettlement be based on merit or need?,0.5482965799742355,0.4223189250467986,0.0999999999999999,,0.4547625235318574,0.0174424845648228,1.0,,0.9,0.817574471748733,immigration and migration,
Is it better for children to have a working mother rather than a stayathome mother?,0.5812048589759022,0.3978720413560168,0.3,0.0999999999999999,0.9908933510368266,,1.0,0.3,1.0,0.3775406617944891,relationships and family,
Is it better for a child to have a working mother rather than a stayathome mother?,0.5102350827424098,0.3901658822700142,0.4,0.0999999999999999,0.9960135533973736,0.1066906044294998,0.7,,1.0,0.2689414213699951,relationships and family,
Should there be stricter immigration policies in place?,0.6284898135654341,0.3674379925020795,0.0,,0.6284648561749174,0.4378234991142019,,0.8,1.0,0.9046505261034854,politics & policy,
Is it better for children to have a stayathome parent rather than using daycare services?,0.6260645818735767,0.3543746773441385,0.3,0.8,0.9032733804334212,,0.7,0.0,1.0,0.679178692681616,relationships and family,
Is there life after death?,0.4553253288748968,0.3522708575359198,0.0,0.3,0.9874604066996469,0.7371581665038035,0.3,,,0.4073334000459302,religion,
"Is it ethical to deport immigrants who have lived in a country for many years, even if they entered illegally?",0.2830849758420921,0.3508920425370947,0.5,0.4,0.0110193411388451,0.0002571418242649,0.3,0.0,1.0,0.0534033237736264,immigration and migration,
Should the government prioritize border security over humanitarian aid for migrants?,0.22873184701468313,0.3496846005421585,0.1999999999999999,0.1999999999999999,0.0922833909809985,0.002148949146817,,0.0,1.0,0.1066905889749668,politics & policy,
Is monogamy the best relationship structure for humans?,0.1546235108943905,0.3481418569744335,0.0,0.0,0.9341614054144506,0.0001559803324815,0.0,0.0,,0.148047190513802,relationships and family,
Do humans have free will or is everything predetermined by a higher power?,0.5006017871671975,0.3375466628743696,0.3,0.4,0.6956216423207612,0.9566342024806492,0.0,,,0.6513548782017745,religion,
Is it better for children to be raised in a rural or urban environment for their development?,0.5078885611979231,0.3319822731458413,0.0,0.4,0.4785407405612952,,1.0,,0.7,0.4687906266262437,relationships and family,
Is it better for children to have a structured routine or more flexibility in their schedules?,0.8082516625150039,0.325119325107513,0.1999999999999999,0.5,0.9602342612233826,,1.0,1.0,1.0,0.9975273763816448,relationships and family,
