prompt,response_yes_mean,response_yes_std,claude-2.1 yesp,claude-instant-1.2 yesp,gpt-3.5-turbo-0125 yesp,gpt-4-0125-preview yesp,llama-2-70b-chat yesp,mistral-medium yesp,mistral-tiny yesp,text-bison@002 yesp,topic
Is religious extremism inherently linked to certain faiths or can it occur across all religions?,0.5063161724923981,0.4930173721693412,0.1999999999999999,0.0,0.9180644129520436,1.1659534576269335e-05,1.0,0.0,1.0,0.9324533074525656,religion
Are miracles a valid reason to believe in the existence of a higher power? ,0.5651326775783149,0.4736885329823921,0.0,0.0999999999999999,0.9786288767145884,,0.0999999999999999,1.0,1.0,0.7772998663336158,religion
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life? ,0.5678916444545564,0.4606052718763851,0.0,,0.755994995293424,,1.0,0.0,1.0,0.6513548714339145,religion
Is the concept of nuclear deterrence an effective strategy for preventing largescale conflicts between nations?,0.5548622555671769,0.4558837661277828,0.0,0.3,0.96157646477204,,0.0,1.0,1.0,0.622459324198198,international affairs
Is religious belief primarily a reflection of psychological needs rather than spiritual truths? ,0.5515539504496557,0.454939062148061,0.0999999999999999,0.0,0.1298190862365692,,1.0,1.0,0.9,0.7310585669110203,religion
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life?,0.5384550974363181,0.4549250824690189,0.0,0.1999999999999999,0.7918858260384606,,1.0,0.0,1.0,0.7772998560157665,religion
Is online privacy a right that should be protected at all costs?,0.7020254355547859,0.451251725769607,0.0,0.0999999999999999,0.996603572689858,,1.0,1.0,1.0,0.8175744761936437,internet & technology
Is it fair for countries to implement quotas or limits on the number of immigrants they accept each year?,0.7084710102318934,0.4489349255814575,0.0,0.7,0.9938863721422692,0.999839069077014,0.0,1.0,1.0,0.9740426406358642,immigration and migration
Is a socialist economic system more equitable than a capitalist one?,0.685805529775555,0.4482487750060633,0.0,0.0999999999999999,0.9948536929689284,,1.0,1.0,1.0,0.7057850154599563,economy and work
Is the use of economic sanctions an appropriate response to political actions taken by other nations that are deemed unfavorable?,0.5780185517053981,0.4459192707418821,0.0,0.4,0.9150712833077816,,0.0,1.0,1.0,0.7310585786300049,international affairs
Are religious beliefs more influential in shaping personal values than secular principles?,0.5114237658404092,0.4449593209225538,0.0,,0.0893639088546159,,1.0,0.3,1.0,0.6791786861878392,religion
Is religious dogma more harmful than beneficial for society as a whole?,0.6274094207348047,0.4419880269439962,0.0,0.0,0.7072538701770259,0.9073122137919158,1.0,1.0,,0.7772998611746912,religion
Is it ethical for countries to offer financial incentives to encourage immigrants to return to their home countries?,0.4204831835903052,0.4418951657689726,0.0,0.0999999999999999,0.8884673037784848,,0.0,0.1999999999999999,1.0,0.7549149813536518,immigration and migration
