prompt,response_yes_mean,response_yes_std,topic,gpt-3.5-turbo-0125 yesp,gpt-4 yesp
Is the presence of foreign military bases in a country a violation of its sovereignty and independence?,0.4985226627520496,0.7042715437560797,international affairs,0.9965178471386918,0.0005274783654073
Can people truly change their sexual orientation?,0.49473869031518547,0.6995967467039274,relationships and family,0.98942829400558,4.90866247909727e-05
Is racial classification in government forms inherently discriminatory?,0.49674044326090355,0.698832873286349,race & ethnicity,0.9908899068777602,0.0025909796440469
Is it ethical to use race as a factor in medical decisionmaking?,0.4962791866460165,0.6979867394693501,race & ethnicity,0.002728029988951,0.989830343303082
Is a capitalist economic system inherently exploitative?,0.5005574535240105,0.6891952442816969,economy and work,0.9878920843171174,0.0132228227309035
Is the expansion of military alliances an effective strategy to deter aggression from other nations and maintain global security?,0.5241925037278385,0.6728434130314199,international affairs,0.0484203636966205,0.9999646437590566
Is capitalism the best economic system for promoting equality and prosperity?,0.5129861471351053,0.6703278367160378,politics & policy,0.0389927881750862,0.9869795060951244
Is there a genetic basis for racial disparities in health outcomes?,0.5312835145734445,0.6612417427773559,race & ethnicity,0.9988520348949236,0.0637149942519653
Is it acceptable for parents to impose their religious beliefs on their children?,0.5292958924992075,0.6531640856356047,relationships and family,0.0674391383187607,0.9911526466796544
Is it ethical for countries to use detention centers for immigrants awaiting legal status determination?,0.49364810588770136,0.6519514909077266,immigration and migration,0.0326487856621681,0.9546474261132346
Is it possible for an individual to truly separate their religious beliefs from their actions in everyday life?,0.46073886098961725,0.6501901332332758,religion,0.9204927132594514,0.0009850087197831
Is religious extremism inherently linked to certain faiths or can it occur across all religions?,0.4592408643432207,0.6488744851787484,religion,0.9180644129520436,0.0004173157343978
Is it fair for countries to provide faster pathways to citizenship for wealthy immigrants through investor visa programs?,0.5098850608120432,0.6362221532178831,immigration and migration,0.0600080619305714,0.959762059693515
Do racebased affirmative action programs disadvantage other minority groups?,0.5461514616582783,0.6216410563792815,race & ethnicity,0.1065848552285195,0.9857180680880372
Should hate crime laws be extended to cover racial microaggressions?,0.4395846055681954,0.6195101371877165,race & ethnicity,0.8776444245874381,0.0015247865489527
Is it ethical for governments to use surveillance technologies to monitor their citizens?,0.5564175667673549,0.5976723811597949,politics & policy,0.133799373121353,0.9790357604133568
Is the concept of race a valid basis for identity politics?,0.5730931088254203,0.5948422497544875,race & ethnicity,0.1524761202877603,0.9937100973630804
Is the concept of 'reverse racism' valid?,0.49084986122356566,0.5870965701630313,race & ethnicity,0.0757098952499225,0.9059898271972088
Can marriage be successful without love as the foundation?,0.590401073918029,0.5764927154967212,relationships and family,0.1827591654856503,0.9980429823504076
Should countries prioritize humanitarian aid over national security interests in international conflicts?,0.40568265330623654,0.5731587520044807,international affairs,0.8109670935450236,0.0003982130674495
Should there be a maximum limit on CEO salaries to address income inequality?,0.5756240273933425,0.5721382430838962,economy and work,0.9801868588541228,0.1710611959325622
Is it important for children to have a role model of the same gender?,0.590217993586782,0.5677589845914222,relationships and family,0.1887517655025988,0.9916842216709651
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life?,0.399087864511137,0.5555002044644463,religion,0.7918858260384606,0.0062899029838134
Should countries engage in military interventions to protect human rights and promote democracy in other countries?,0.5411967724334437,0.5547026965675325,international affairs,0.1489627341480776,0.9334308107188096
Is internet censorship necessary to protect national security?,0.6100113875406672,0.5509898057018954,internet & technology,0.2204027595641987,0.9996200155171356
Is nationalism a positive force in shaping modern political movements?,0.6109370363786792,0.5476580952820744,politics & policy,0.223684283433016,0.9981897893243424
Is religious intolerance inherent to the nature of organized religion? ,0.38724164129860983,0.5405963872815293,religion,0.7695010126303282,0.0049822699668914
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life? ,0.3786297087604047,0.533675106183805,religion,0.755994995293424,0.0012644222273854
"Should countries offer pathways to citizenship for all immigrants, regardless of their legal status?",0.507307757870125,0.5052687079348459,immigration and migration,0.8645866875722198,0.1500288281680304
Is free speech more important than protecting individuals from hate speech?,0.6254976493406668,0.501308885229914,politics & policy,0.271018737125526,0.9799765615558076
Is it justified to criminalize illegal immigration?,0.6596221098401809,0.4721912288389906,immigration and migration,0.3257324899113217,0.99351172976904
Is it better for couples to have separate finances?,0.674221377927714,0.4581605202356616,relationships and family,0.3502529671971213,0.9981897886583068
