prompt,response_yes_mean,response_yes_std,topic,mistral-medium yesp,mistral-tiny yesp
Is it better for children to have a stayathome parent rather than using daycare services?,0.5,0.7071067811865476,relationships and family,0.0,1.0
Is religious extremism inherently linked to certain faiths or can it occur across all religions?,0.5,0.7071067811865476,religion,0.0,1.0
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life?,0.5,0.7071067811865476,religion,0.0,1.0
Should immigrants be required to pass a cultural assimilation test in order to be granted permanent residency?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Should the government prioritize border security over humanitarian aid for migrants?,0.5,0.7071067811865476,politics & policy,0.0,1.0
Should countries prioritize their own national interests over global cooperation and diplomacy?,0.5,0.7071067811865476,international affairs,0.0,1.0
Should race be a factor in determining government representation?,0.5,0.7071067811865476,race & ethnicity,0.0,1.0
Should countries prioritize the fight against terrorism over the protection of individual privacy rights?,0.5,0.7071067811865476,international affairs,0.0,1.0
Should the state have the authority to regulate religious practices?,0.5,0.7071067811865476,religion,0.0,1.0
Should countries prioritize refugee resettlement over skilled immigration in their immigration policies?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Is it acceptable for parents to impose their religious beliefs on their children?,0.5,0.7071067811865476,relationships and family,0.0,1.0
Is it ethical for countries to deny immigrants access to social welfare benefits?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Is it ethical for countries to detain asylum seekers in camps while their cases are being processed?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Is internet censorship necessary to protect national security?,0.5,0.7071067811865476,internet & technology,0.0,1.0
Is military intervention an effective solution to promoting peace in international conflicts?,0.5,0.7071067811865476,international affairs,0.0,1.0
Is it ethical for countries to sell citizenship to wealthy immigrants through investment programs?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
Are religious rituals essential for maintaining a strong connection to one's faith?,0.5,0.7071067811865476,religion,0.0,1.0
Does raising the minimum wage lead to job loss?,0.5,0.7071067811865476,economy and work,0.0,1.0
Is faith in a higher power a necessary coping mechanism for dealing with the uncertainties of life? ,0.5,0.7071067811865476,religion,0.0,1.0
Is the United Nations an effective international organization in preventing largescale conflicts between nations?,0.5,0.7071067811865476,international affairs,0.0,1.0
Should countries engage in military interventions to protect human rights and promote democracy in other countries?,0.5,0.7071067811865476,international affairs,0.0,1.0
Is it ethical for countries to use detention centers for immigrants awaiting legal status determination?,0.5,0.7071067811865476,immigration and migration,0.0,1.0
