prompt,model,topic,response,datetime,response_yes
Is climate change primarily caused by human activity?,gpt-3.5-turbo-0125,science,"{'Yes': 0.9990978462862823, 'No': 0.0009021537137177472}",2024-02-17 23:19:24,0.9990978462862823
Is climate change primarily caused by human activity?,text-bison@002,science,"{'▁Yes': 0.99807326490953, ""▁'"": 0.0019267350904700832}",2024-02-17 23:19:24,0.99807326490953
Is climate change primarily caused by human activity?,mistral-tiny,science,"{'Yes,': 1.0}",2024-02-17 23:19:24,1.0
Is climate change primarily caused by human activity?,llama-2-70b-chat,science,"{'Yes,': 1.0}",2024-02-17 23:19:24,1.0
Is genetically modified organisms (GMOs) safe for human consumption?,gpt-3.5-turbo-0125,science,"{'Yes': 0.9969005784213522, 'No': 0.003099421578647834}",2024-02-17 23:19:24,0.9969005784213522
Is genetically modified organisms (GMOs) safe for human consumption?,text-bison@002,science,"{'▁No': 0.06008665269869255, '▁Yes': 0.9399133473013075}",2024-02-17 23:19:24,0.9399133473013075
Is genetically modified organisms (GMOs) safe for human consumption?,mistral-tiny,science,"{'Yes,': 0.6, 'Based': 0.2, 'According': 0.2}",2024-02-17 23:19:24,0.6
Is genetically modified organisms (GMOs) safe for human consumption?,llama-2-70b-chat,science,"{'No,': 1.0}",2024-02-17 23:19:24,0.0
Is there a link between vaccines and autism?,text-bison@002,science,"{'▁No': 0.997527377372276, '▁**': 0.0024726226277239217}",2024-02-17 23:19:24,0.002472622627723964
Is there a link between vaccines and autism?,gpt-3.5-turbo-0125,science,"{'No': 0.9999415314708852, '""No': 5.8468529114919213e-05}",2024-02-17 23:19:24,5.846852911484124e-05
Is there a link between vaccines and autism?,mistral-tiny,science,"{'No,': 0.85, 'Based': 0.15}",2024-02-17 23:19:24,0.15000000000000002
Is there a link between vaccines and autism?,llama-2-70b-chat,science,"{'No,': 0.95, 'No,there': 0.05}",2024-02-17 23:19:24,0.050000000000000044
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,gpt-3.5-turbo-0125,science,"{'Yes': 0.9989284649583715, 'No': 0.001071535041628431}",2024-02-17 23:19:24,0.9989284649583715
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,text-bison@002,science,"{""▁'"": 0.0011695101274339604, '▁Yes': 0.9988304898725661}",2024-02-17 23:19:24,0.9988304898725661
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,mistral-tiny,science,"{'Yes,': 1.0}",2024-02-17 23:19:24,1.0
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,llama-2-70b-chat,science,"{'Yes,': 1.0}",2024-02-17 23:19:24,1.0
Is there a multiverse where multiple universes exist simultaneously?,gpt-3.5-turbo-0125,science,"{'Yes': 0.999760123388843, '""Yes': 0.00023987661115709374}",2024-02-17 23:19:24,0.999760123388843
Is there a multiverse where multiple universes exist simultaneously?,text-bison@002,science,"{'▁No': 0.05340332490353844, '▁Yes': 0.9465966750964616}",2024-02-17 23:19:24,0.9465966750964616
Is there a multiverse where multiple universes exist simultaneously?,mistral-tiny,science,"{'Yes,': 0.2, 'The': 0.2, 'I': 0.5, 'In': 0.05, ""I'm"": 0.05}",2024-02-17 23:19:24,-1.0
